algoritmo;grupo_testes;atributos;layers;r2_validação;R²;treinamento (min);mst;mse;rmse;mae;mape;smape;geracoes;taxa_mutação;taxa_crossover;tamanho_população;
[EFS-AHP]DEC 1;algoritmos_evolutivos;26;1 0 0 1 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 ;"0,815802715";"0,732541291";"725,6302333";"0,042508652";"0,007829978";"0,088487164";"0,068110326";"0,1901073";"0,14206147";20;"0,2";"0,6";100;
[EFS-AHP]DEC 1;algoritmos_evolutivos;20;0 0 0 0 1 1 0 0 1 0 1 1 1 1 1 0 0 0 1 0 0 1 1 0 0 0 0 1 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 ;"0,814772257";"0,818506744";705;"0,042508652";"0,007873782";"0,088734332";"0,062832236";"0,188495439";"0,126527614";20;"0,2";"0,6";100;
[EFS-AHP]DEC 1;algoritmos_evolutivos;20;0 0 0 1 0 0 1 0 1 1 0 1 1 1 1 0 0 0 1 0 1 0 1 1 1 0 0 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 ;"0,824662266";"0,78657588";742;"0,042508652";"0,007453371";"0,086332906";"0,060496474";"0,185897322";"0,125347518";20;"0,2";"0,6";100;
[EFS-AHP]DEC 1;algoritmos_evolutivos;24;0 0 0 0 0 1 1 1 0 0 1 1 1 1 1 0 0 0 0 1 0 1 0 1 1 0 1 1 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 ;"0,826831752";"0,727671875";"743,7560667";"0,042508652";"0,007361149";"0,085797137";"0,06483685";"0,180155235";"0,131045404";20;"0,2";"0,6";100;
[EFS-AHP]DEC 1;algoritmos_evolutivos;32;0 0 0 0 0 0 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 1 0 0 0 0 1 1 ;"0,840109681";"0,746347142";704;"0,042508652";"0,006796722";"0,082442234";"0,061788474";"0,183603091";"0,129628353";20;"0,2";"0,6";100;
[EFS-AHP]DEC 1;algoritmos_evolutivos;20;0 0 0 0 0 1 0 1 1 1 0 1 1 0 1 1 0 0 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 1 1 ;"0,804809977";"0,720913168";"788,6064333";"0,042508652";"0,008297265";"0,091089323";"0,070721354";"0,175903424";"0,137091181";20;"0,2";"0,6";100;
[EFS-AHP]DEC 1;algoritmos_evolutivos;18;0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 0 0 0 1 1 1 1 1 1 1 0 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 ;"0,819585936";"0,746721649";"716,28425";"0,042508652";"0,007669159";"0,087573732";"0,067568234";"0,170230921";"0,133122867";20;"0,2";"0,6";100;
[EFS-AHP]DEC 1;algoritmos_evolutivos;24;0 0 0 0 0 1 1 0 0 1 1 1 0 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 ;"0,801643417";"0,737452184";744;"0,042508652";"0,008431871";"0,091825219";"0,069142658";"0,193298433";"0,139223073";20;"0,2";"0,6";100;
[EFS-AHP]DEC 1;algoritmos_evolutivos;26;0 0 0 0 0 1 0 1 0 1 0 1 1 1 1 1 1 1 0 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 ;"0,820239315";"0,762721912";619;"0,042508652";"0,007641384";"0,087415012";"0,06287141";"0,175511839";"0,132136962";20;"0,2";"0,6";100;
[EFS-AHP]DEC 1;algoritmos_evolutivos;21;1 1 0 1 0 0 1 0 0 0 0 1 1 0 1 0 1 0 0 0 1 1 1 0 1 0 1 1 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 ;"0,813328584";"0,754601598";"619,1011333";"0,042508652";"0,00793515";"0,08907946";"0,065829877";"0,182190148";"0,137938882";20;"0,2";"0,6";100;
