TRIPPLE RSI	MFI	TRIPPLE MFI	FIBONNACI	MEDIA SIMPLES VOLUME	MEDIA MOVEL VOLUME	RSI	MACD	BOLLINGER	OSCILADOR ESTOCASTICO	MMP	ADX	PVI	SAR	MEDIA MOVEL FECHAMENTO	MEDIAS SIMPLES FECHAMENTO	PERIODOS
TRIPPLE RSI	1	1	1	1	2	2	2	2	2	2	2	2	2	2	6	9	9
MFI	1	1	1	1	2	2	2	2	2	2	2	2	2	2	6	9	9
TRIPPLE MFI	1	1	1	1	2	2	2	2	2	2	2	2	2	2	6	9	9
FIBONNACI	1	1	1	1	2	2	2	2	2	2	2	2	2	2	6	9	9
MEDIA SIMPLES VOLUME	1/2	1/2	1/2	1/2	1	1	1	1	1	1	1	1	1	1	2	4	5
MEDIA MOVEL VOLUME	1/2	1/2	1/2	1/2	1	1	1	1	1	1	1	1	1	1	2	4	5
RSI	1/2	1/2	1/2	1/2	1	1	1	1	1	1	1	1	1	1	2	4	5
MACD	1/2	1/2	1/2	1/2	1	1	1	1	1	1	1	1	1	1	2	4	5
BOLLINGER	1/2	1/2	1/2	1/2	1	1	1	1	1	1	1	1	1	1	2	4	5
OSCILADOR ESTOCASTICO	1/2	1/2	1/2	1/2	1	1	1	1	1	1	1	1	1	1	2	4	5
MMP	1/2	1/2	1/2	1/2	1	1	1	1	1	1	1	1	1	1	2	4	5
ADX	1/2	1/2	1/2	1/2	1	1	1	1	1	1	1	1	1	1	2	4	5
PVI	1/2	1/2	1/2	1/2	1	1	1	1	1	1	1	1	1	1	2	4	5
SAR	1/2	1/2	1/2	1/2	1	1	1	1	1	1	1	1	1	1	2	4	5
MEDIA MOVEL FECHAMENTO	1/6	1/6	1/6	1/6	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1/2	1	1	2
MEDIAS SIMPLES FECHAMENTO	1/9	1/9	1/9	1/9	1/4	1/4	1/4	1/4	1/4	1/4	1/4	1/4	1/4	1/4	1	1	1
PERIODOS	1/9	1/9	1/9	1/9	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/5	1/2	1	1
